Variant,Age,Sex,Year,Population projection by age and sex 2026-2075
Low variant L1,93 years,Total,2026,304
Low variant L1,93 years,Total,2027,317
Low variant L1,93 years,Total,2028,323
Low variant L1,93 years,Total,2029,321
Low variant L1,93 years,Total,2030,350
Low variant L1,93 years,Total,2031,345
Low variant L1,93 years,Total,2032,337
Low variant L1,93 years,Total,2033,362
Low variant L1,93 years,Total,2034,386
Low variant L1,93 years,Total,2035,409
Low variant L1,93 years,Total,2036,468
Low variant L1,93 years,Total,2037,497
Low variant L1,93 years,Total,2038,527
Low variant L1,93 years,Total,2039,581
Low variant L1,93 years,Total,2040,591
Low variant L1,93 years,Total,2041,646
Low variant L1,93 years,Total,2042,695
Low variant L1,93 years,Total,2043,711
Low variant L1,93 years,Total,2044,756
Low variant L1,93 years,Total,2045,780
Low variant L1,93 years,Total,2046,798
Low variant L1,93 years,Total,2047,864
Low variant L1,93 years,Total,2048,881
Low variant L1,93 years,Total,2049,934
Low variant L1,93 years,Total,2050,979
Low variant L1,93 years,Total,2051,1024
Low variant L1,93 years,Total,2052,991
Low variant L1,93 years,Total,2053,1050
Low variant L1,93 years,Total,2054,1056
Low variant L1,93 years,Total,2055,1023
Low variant L1,93 years,Total,2056,1093
Low variant L1,93 years,Total,2057,1132
Low variant L1,93 years,Total,2058,1155
Low variant L1,93 years,Total,2059,1154
Low variant L1,93 years,Total,2060,1207
Low variant L1,93 years,Total,2061,1167
Low variant L1,93 years,Total,2062,1139
Low variant L1,93 years,Total,2063,1186
Low variant L1,93 years,Total,2064,1174
Low variant L1,93 years,Total,2065,1267
Low variant L1,93 years,Total,2066,1428
Low variant L1,93 years,Total,2067,1460
Low variant L1,93 years,Total,2068,1409
Low variant L1,93 years,Total,2069,1492
Low variant L1,93 years,Total,2070,1530
Low variant L1,93 years,Total,2071,1523
Low variant L1,93 years,Total,2072,1623
Low variant L1,93 years,Total,2073,1762
Low variant L1,93 years,Total,2074,1823
Low variant L1,93 years,Males,2026,111
Low variant L1,93 years,Males,2027,115
Low variant L1,93 years,Males,2028,117
Low variant L1,93 years,Males,2029,114
Low variant L1,93 years,Males,2030,123
Low variant L1,93 years,Males,2031,137
Low variant L1,93 years,Males,2032,129
Low variant L1,93 years,Males,2033,140
Low variant L1,93 years,Males,2034,137
Low variant L1,93 years,Males,2035,152
Low variant L1,93 years,Males,2036,177
Low variant L1,93 years,Males,2037,181
Low variant L1,93 years,Males,2038,202
Low variant L1,93 years,Males,2039,226
Low variant L1,93 years,Males,2040,235
Low variant L1,93 years,Males,2041,256
Low variant L1,93 years,Males,2042,260
Low variant L1,93 years,Males,2043,286
Low variant L1,93 years,Males,2044,310
Low variant L1,93 years,Males,2045,294
Low variant L1,93 years,Males,2046,317
Low variant L1,93 years,Males,2047,339
Low variant L1,93 years,Males,2048,344
Low variant L1,93 years,Males,2049,363
Low variant L1,93 years,Males,2050,388
Low variant L1,93 years,Males,2051,415
Low variant L1,93 years,Males,2052,389
Low variant L1,93 years,Males,2053,424
Low variant L1,93 years,Males,2054,429
Low variant L1,93 years,Males,2055,413
Low variant L1,93 years,Males,2056,433
Low variant L1,93 years,Males,2057,450
Low variant L1,93 years,Males,2058,444
Low variant L1,93 years,Males,2059,467
Low variant L1,93 years,Males,2060,478
Low variant L1,93 years,Males,2061,464
Low variant L1,93 years,Males,2062,479
Low variant L1,93 years,Males,2063,478
Low variant L1,93 years,Males,2064,494
Low variant L1,93 years,Males,2065,542
Low variant L1,93 years,Males,2066,587
Low variant L1,93 years,Males,2067,626
Low variant L1,93 years,Males,2068,615
Low variant L1,93 years,Males,2069,650
Low variant L1,93 years,Males,2070,691
Low variant L1,93 years,Males,2071,676
Low variant L1,93 years,Males,2072,722
Low variant L1,93 years,Males,2073,784
Low variant L1,93 years,Males,2074,814
Low variant L1,93 years,Females,2026,193
Low variant L1,93 years,Females,2027,202
Low variant L1,93 years,Females,2028,206
Low variant L1,93 years,Females,2029,207
Low variant L1,93 years,Females,2030,227
Low variant L1,93 years,Females,2031,208
Low variant L1,93 years,Females,2032,208
Low variant L1,93 years,Females,2033,222
Low variant L1,93 years,Females,2034,249
Low variant L1,93 years,Females,2035,257
Low variant L1,93 years,Females,2036,291
Low variant L1,93 years,Females,2037,316
Low variant L1,93 years,Females,2038,325
Low variant L1,93 years,Females,2039,355
Low variant L1,93 years,Females,2040,356
Low variant L1,93 years,Females,2041,390
Low variant L1,93 years,Females,2042,435
Low variant L1,93 years,Females,2043,425
Low variant L1,93 years,Females,2044,446
Low variant L1,93 years,Females,2045,486
Low variant L1,93 years,Females,2046,481
Low variant L1,93 years,Females,2047,525
Low variant L1,93 years,Females,2048,537
Low variant L1,93 years,Females,2049,571
Low variant L1,93 years,Females,2050,591
Low variant L1,93 years,Females,2051,609
Low variant L1,93 years,Females,2052,602
Low variant L1,93 years,Females,2053,626
Low variant L1,93 years,Females,2054,627
Low variant L1,93 years,Females,2055,610
Low variant L1,93 years,Females,2056,660
Low variant L1,93 years,Females,2057,682
Low variant L1,93 years,Females,2058,711
Low variant L1,93 years,Females,2059,687
Low variant L1,93 years,Females,2060,729
Low variant L1,93 years,Females,2061,703
Low variant L1,93 years,Females,2062,660
Low variant L1,93 years,Females,2063,708
Low variant L1,93 years,Females,2064,680
Low variant L1,93 years,Females,2065,725
Low variant L1,93 years,Females,2066,841
Low variant L1,93 years,Females,2067,834
Low variant L1,93 years,Females,2068,794
Low variant L1,93 years,Females,2069,842
Low variant L1,93 years,Females,2070,839
Low variant L1,93 years,Females,2071,847
Low variant L1,93 years,Females,2072,901
Low variant L1,93 years,Females,2073,978
Low variant L1,93 years,Females,2074,1009
Low variant L1,94 years,Total,2026,255
Low variant L1,94 years,Total,2027,240
Low variant L1,94 years,Total,2028,251
Low variant L1,94 years,Total,2029,256
Low variant L1,94 years,Total,2030,256
Low variant L1,94 years,Total,2031,279
Low variant L1,94 years,Total,2032,275
Low variant L1,94 years,Total,2033,269
Low variant L1,94 years,Total,2034,290
Low variant L1,94 years,Total,2035,311
Low variant L1,94 years,Total,2036,330
Low variant L1,94 years,Total,2037,377
Low variant L1,94 years,Total,2038,402
Low variant L1,94 years,Total,2039,426
Low variant L1,94 years,Total,2040,472
Low variant L1,94 years,Total,2041,480
Low variant L1,94 years,Total,2042,526
Low variant L1,94 years,Total,2043,568
Low variant L1,94 years,Total,2044,581
Low variant L1,94 years,Total,2045,618
Low variant L1,94 years,Total,2046,641
Low variant L1,94 years,Total,2047,656
Low variant L1,94 years,Total,2048,712
Low variant L1,94 years,Total,2049,728
Low variant L1,94 years,Total,2050,772
Low variant L1,94 years,Total,2051,811
Low variant L1,94 years,Total,2052,849
Low variant L1,94 years,Total,2053,824
Low variant L1,94 years,Total,2054,874
Low variant L1,94 years,Total,2055,880
Low variant L1,94 years,Total,2056,855
Low variant L1,94 years,Total,2057,915
Low variant L1,94 years,Total,2058,949
Low variant L1,94 years,Total,2059,971
Low variant L1,94 years,Total,2060,970
Low variant L1,94 years,Total,2061,1017
Low variant L1,94 years,Total,2062,984
Low variant L1,94 years,Total,2063,961
Low variant L1,94 years,Total,2064,1003
Low variant L1,94 years,Total,2065,994
Low variant L1,94 years,Total,2066,1075
Low variant L1,94 years,Total,2067,1214
Low variant L1,94 years,Total,2068,1242
Low variant L1,94 years,Total,2069,1200
Low variant L1,94 years,Total,2070,1273
Low variant L1,94 years,Total,2071,1306
Low variant L1,94 years,Total,2072,1302
Low variant L1,94 years,Total,2073,1390
Low variant L1,94 years,Total,2074,1511
Low variant L1,94 years,Males,2026,94
Low variant L1,94 years,Males,2027,84
Low variant L1,94 years,Males,2028,87
Low variant L1,94 years,Males,2029,89
Low variant L1,94 years,Males,2030,87
Low variant L1,94 years,Males,2031,94
Low variant L1,94 years,Males,2032,105
Low variant L1,94 years,Males,2033,99
Low variant L1,94 years,Males,2034,108
Low variant L1,94 years,Males,2035,106
Low variant L1,94 years,Males,2036,118
Low variant L1,94 years,Males,2037,137
Low variant L1,94 years,Males,2038,141
Low variant L1,94 years,Males,2039,157
Low variant L1,94 years,Males,2040,177
Low variant L1,94 years,Males,2041,184
Low variant L1,94 years,Males,2042,201
Low variant L1,94 years,Males,2043,205
Low variant L1,94 years,Males,2044,226
Low variant L1,94 years,Males,2045,245
Low variant L1,94 years,Males,2046,233
Low variant L1,94 years,Males,2047,252
Low variant L1,94 years,Males,2048,270
Low variant L1,94 years,Males,2049,275
Low variant L1,94 years,Males,2050,290
Low variant L1,94 years,Males,2051,311
Low variant L1,94 years,Males,2052,333
Low variant L1,94 years,Males,2053,313
Low variant L1,94 years,Males,2054,342
Low variant L1,94 years,Males,2055,347
Low variant L1,94 years,Males,2056,335
Low variant L1,94 years,Males,2057,352
Low variant L1,94 years,Males,2058,366
Low variant L1,94 years,Males,2059,362
Low variant L1,94 years,Males,2060,381
Low variant L1,94 years,Males,2061,391
Low variant L1,94 years,Males,2062,380
Low variant L1,94 years,Males,2063,393
Low variant L1,94 years,Males,2064,393
Low variant L1,94 years,Males,2065,407
Low variant L1,94 years,Males,2066,448
Low variant L1,94 years,Males,2067,486
Low variant L1,94 years,Males,2068,519
Low variant L1,94 years,Males,2069,511
Low variant L1,94 years,Males,2070,541
Low variant L1,94 years,Males,2071,576
Low variant L1,94 years,Males,2072,564
Low variant L1,94 years,Males,2073,604
Low variant L1,94 years,Males,2074,657
Low variant L1,94 years,Females,2026,161
Low variant L1,94 years,Females,2027,156
Low variant L1,94 years,Females,2028,164
Low variant L1,94 years,Females,2029,167
Low variant L1,94 years,Females,2030,169
Low variant L1,94 years,Females,2031,185
Low variant L1,94 years,Females,2032,170
Low variant L1,94 years,Females,2033,170
Low variant L1,94 years,Females,2034,182
Low variant L1,94 years,Females,2035,205
Low variant L1,94 years,Females,2036,212
Low variant L1,94 years,Females,2037,240
Low variant L1,94 years,Females,2038,261
Low variant L1,94 years,Females,2039,269
Low variant L1,94 years,Females,2040,295
Low variant L1,94 years,Females,2041,296
Low variant L1,94 years,Females,2042,325
Low variant L1,94 years,Females,2043,363
Low variant L1,94 years,Females,2044,355
Low variant L1,94 years,Females,2045,373
Low variant L1,94 years,Females,2046,408
Low variant L1,94 years,Females,2047,404
Low variant L1,94 years,Females,2048,442
Low variant L1,94 years,Females,2049,453
Low variant L1,94 years,Females,2050,482
Low variant L1,94 years,Females,2051,500
Low variant L1,94 years,Females,2052,516
Low variant L1,94 years,Females,2053,511
Low variant L1,94 years,Females,2054,532
Low variant L1,94 years,Females,2055,533
Low variant L1,94 years,Females,2056,520
Low variant L1,94 years,Females,2057,563
Low variant L1,94 years,Females,2058,583
Low variant L1,94 years,Females,2059,609
Low variant L1,94 years,Females,2060,589
Low variant L1,94 years,Females,2061,626
Low variant L1,94 years,Females,2062,604
Low variant L1,94 years,Females,2063,568
Low variant L1,94 years,Females,2064,610
Low variant L1,94 years,Females,2065,587
Low variant L1,94 years,Females,2066,627
Low variant L1,94 years,Females,2067,728
Low variant L1,94 years,Females,2068,723
Low variant L1,94 years,Females,2069,689
Low variant L1,94 years,Females,2070,732
Low variant L1,94 years,Females,2071,730
Low variant L1,94 years,Females,2072,738
Low variant L1,94 years,Females,2073,786
Low variant L1,94 years,Females,2074,854
Low variant L1,95 years,Total,2026,216
Low variant L1,95 years,Total,2027,194
Low variant L1,95 years,Total,2028,184
Low variant L1,95 years,Total,2029,193
Low variant L1,95 years,Total,2030,197
Low variant L1,95 years,Total,2031,198
Low variant L1,95 years,Total,2032,216
Low variant L1,95 years,Total,2033,213
Low variant L1,95 years,Total,2034,209
Low variant L1,95 years,Total,2035,225
Low variant L1,95 years,Total,2036,243
Low variant L1,95 years,Total,2037,258
Low variant L1,95 years,Total,2038,296
Low variant L1,95 years,Total,2039,316
Low variant L1,95 years,Total,2040,336
Low variant L1,95 years,Total,2041,373
Low variant L1,95 years,Total,2042,380
Low variant L1,95 years,Total,2043,417
Low variant L1,95 years,Total,2044,451
Low variant L1,95 years,Total,2045,462
Low variant L1,95 years,Total,2046,493
Low variant L1,95 years,Total,2047,513
Low variant L1,95 years,Total,2048,525
Low variant L1,95 years,Total,2049,572
Low variant L1,95 years,Total,2050,586
Low variant L1,95 years,Total,2051,623
Low variant L1,95 years,Total,2052,655
Low variant L1,95 years,Total,2053,687
Low variant L1,95 years,Total,2054,669
Low variant L1,95 years,Total,2055,710
Low variant L1,95 years,Total,2056,716
Low variant L1,95 years,Total,2057,697
Low variant L1,95 years,Total,2058,748
Low variant L1,95 years,Total,2059,778
Low variant L1,95 years,Total,2060,797
Low variant L1,95 years,Total,2061,797
Low variant L1,95 years,Total,2062,838
Low variant L1,95 years,Total,2063,812
Low variant L1,95 years,Total,2064,794
Low variant L1,95 years,Total,2065,830
Low variant L1,95 years,Total,2066,823
Low variant L1,95 years,Total,2067,892
Low variant L1,95 years,Total,2068,1010
Low variant L1,95 years,Total,2069,1034
Low variant L1,95 years,Total,2070,1000
Low variant L1,95 years,Total,2071,1063
Low variant L1,95 years,Total,2072,1092
Low variant L1,95 years,Total,2073,1091
Low variant L1,95 years,Total,2074,1167
Low variant L1,95 years,Males,2026,70
Low variant L1,95 years,Males,2027,68
Low variant L1,95 years,Males,2028,61
Low variant L1,95 years,Males,2029,64
Low variant L1,95 years,Males,2030,65
Low variant L1,95 years,Males,2031,64
Low variant L1,95 years,Males,2032,69
Low variant L1,95 years,Males,2033,78
Low variant L1,95 years,Males,2034,73
Low variant L1,95 years,Males,2035,80
Low variant L1,95 years,Males,2036,79
Low variant L1,95 years,Males,2037,88
Low variant L1,95 years,Males,2038,103
Low variant L1,95 years,Males,2039,106
Low variant L1,95 years,Males,2040,119
Low variant L1,95 years,Males,2041,134
Low variant L1,95 years,Males,2042,140
Low variant L1,95 years,Males,2043,153
Low variant L1,95 years,Males,2044,156
Low variant L1,95 years,Males,2045,173
Low variant L1,95 years,Males,2046,188
Low variant L1,95 years,Males,2047,179
Low variant L1,95 years,Males,2048,194
Low variant L1,95 years,Males,2049,209
Low variant L1,95 years,Males,2050,213
Low variant L1,95 years,Males,2051,225
Low variant L1,95 years,Males,2052,242
Low variant L1,95 years,Males,2053,260
Low variant L1,95 years,Males,2054,245
Low variant L1,95 years,Males,2055,268
Low variant L1,95 years,Males,2056,273
Low variant L1,95 years,Males,2057,264
Low variant L1,95 years,Males,2058,278
Low variant L1,95 years,Males,2059,290
Low variant L1,95 years,Males,2060,287
Low variant L1,95 years,Males,2061,303
Low variant L1,95 years,Males,2062,312
Low variant L1,95 years,Males,2063,304
Low variant L1,95 years,Males,2064,315
Low variant L1,95 years,Males,2065,315
Low variant L1,95 years,Males,2066,327
Low variant L1,95 years,Males,2067,361
Low variant L1,95 years,Males,2068,392
Low variant L1,95 years,Males,2069,420
Low variant L1,95 years,Males,2070,414
Low variant L1,95 years,Males,2071,439
Low variant L1,95 years,Males,2072,469
Low variant L1,95 years,Males,2073,460
Low variant L1,95 years,Males,2074,494
Low variant L1,95 years,Females,2026,146
Low variant L1,95 years,Females,2027,126
Low variant L1,95 years,Females,2028,123
Low variant L1,95 years,Females,2029,129
Low variant L1,95 years,Females,2030,132
Low variant L1,95 years,Females,2031,134
Low variant L1,95 years,Females,2032,147
Low variant L1,95 years,Females,2033,135
Low variant L1,95 years,Females,2034,136
Low variant L1,95 years,Females,2035,145
Low variant L1,95 years,Females,2036,164
Low variant L1,95 years,Females,2037,170
Low variant L1,95 years,Females,2038,193
Low variant L1,95 years,Females,2039,210
Low variant L1,95 years,Females,2040,217
Low variant L1,95 years,Females,2041,239
Low variant L1,95 years,Females,2042,240
Low variant L1,95 years,Females,2043,264
Low variant L1,95 years,Females,2044,295
Low variant L1,95 years,Females,2045,289
Low variant L1,95 years,Females,2046,305
Low variant L1,95 years,Females,2047,334
Low variant L1,95 years,Females,2048,331
Low variant L1,95 years,Females,2049,363
Low variant L1,95 years,Females,2050,373
Low variant L1,95 years,Females,2051,398
Low variant L1,95 years,Females,2052,413
Low variant L1,95 years,Females,2053,427
Low variant L1,95 years,Females,2054,424
Low variant L1,95 years,Females,2055,442
Low variant L1,95 years,Females,2056,443
Low variant L1,95 years,Females,2057,433
Low variant L1,95 years,Females,2058,470
Low variant L1,95 years,Females,2059,488
Low variant L1,95 years,Females,2060,510
Low variant L1,95 years,Females,2061,494
Low variant L1,95 years,Females,2062,526
Low variant L1,95 years,Females,2063,508
Low variant L1,95 years,Females,2064,479
Low variant L1,95 years,Females,2065,515
Low variant L1,95 years,Females,2066,496
Low variant L1,95 years,Females,2067,531
Low variant L1,95 years,Females,2068,618
Low variant L1,95 years,Females,2069,614
Low variant L1,95 years,Females,2070,586
Low variant L1,95 years,Females,2071,624
Low variant L1,95 years,Females,2072,623
Low variant L1,95 years,Females,2073,631
Low variant L1,95 years,Females,2074,673
Low variant L1,96 years,Total,2026,145
Low variant L1,96 years,Total,2027,159
Low variant L1,96 years,Total,2028,143
Low variant L1,96 years,Total,2029,137
Low variant L1,96 years,Total,2030,143
Low variant L1,96 years,Total,2031,147
Low variant L1,96 years,Total,2032,148
Low variant L1,96 years,Total,2033,162
Low variant L1,96 years,Total,2034,160
Low variant L1,96 years,Total,2035,157
Low variant L1,96 years,Total,2036,169
Low variant L1,96 years,Total,2037,184
Low variant L1,96 years,Total,2038,196
Low variant L1,96 years,Total,2039,226
Low variant L1,96 years,Total,2040,241
Low variant L1,96 years,Total,2041,257
Low variant L1,96 years,Total,2042,286
Low variant L1,96 years,Total,2043,292
Low variant L1,96 years,Total,2044,321
Low variant L1,96 years,Total,2045,348
Low variant L1,96 years,Total,2046,357
Low variant L1,96 years,Total,2047,382
Low variant L1,96 years,Total,2048,399
Low variant L1,96 years,Total,2049,409
Low variant L1,96 years,Total,2050,447
Low variant L1,96 years,Total,2051,459
Low variant L1,96 years,Total,2052,489
Low variant L1,96 years,Total,2053,515
Low variant L1,96 years,Total,2054,541
Low variant L1,96 years,Total,2055,529
Low variant L1,96 years,Total,2056,562
Low variant L1,96 years,Total,2057,567
Low variant L1,96 years,Total,2058,554
Low variant L1,96 years,Total,2059,596
Low variant L1,96 years,Total,2060,621
Low variant L1,96 years,Total,2061,638
Low variant L1,96 years,Total,2062,639
Low variant L1,96 years,Total,2063,674
Low variant L1,96 years,Total,2064,654
Low variant L1,96 years,Total,2065,639
Low variant L1,96 years,Total,2066,671
Low variant L1,96 years,Total,2067,666
Low variant L1,96 years,Total,2068,723
Low variant L1,96 years,Total,2069,820
Low variant L1,96 years,Total,2070,841
Low variant L1,96 years,Total,2071,815
Low variant L1,96 years,Total,2072,867
Low variant L1,96 years,Total,2073,892
Low variant L1,96 years,Total,2074,894
Low variant L1,96 years,Males,2026,42
Low variant L1,96 years,Males,2027,49
Low variant L1,96 years,Males,2028,47
Low variant L1,96 years,Males,2029,43
Low variant L1,96 years,Males,2030,45
Low variant L1,96 years,Males,2031,46
Low variant L1,96 years,Males,2032,45
Low variant L1,96 years,Males,2033,49
Low variant L1,96 years,Males,2034,56
Low variant L1,96 years,Males,2035,52
Low variant L1,96 years,Males,2036,57
Low variant L1,96 years,Males,2037,57
Low variant L1,96 years,Males,2038,64
Low variant L1,96 years,Males,2039,75
Low variant L1,96 years,Males,2040,77
Low variant L1,96 years,Males,2041,87
Low variant L1,96 years,Males,2042,98
Low variant L1,96 years,Males,2043,103
Low variant L1,96 years,Males,2044,113
Low variant L1,96 years,Males,2045,115
Low variant L1,96 years,Males,2046,128
Low variant L1,96 years,Males,2047,140
Low variant L1,96 years,Males,2048,133
Low variant L1,96 years,Males,2049,145
Low variant L1,96 years,Males,2050,157
Low variant L1,96 years,Males,2051,160
Low variant L1,96 years,Males,2052,169
Low variant L1,96 years,Males,2053,183
Low variant L1,96 years,Males,2054,197
Low variant L1,96 years,Males,2055,186
Low variant L1,96 years,Males,2056,204
Low variant L1,96 years,Males,2057,208
Low variant L1,96 years,Males,2058,202
Low variant L1,96 years,Males,2059,213
Low variant L1,96 years,Males,2060,223
Low variant L1,96 years,Males,2061,221
Low variant L1,96 years,Males,2062,234
Low variant L1,96 years,Males,2063,242
Low variant L1,96 years,Males,2064,236
Low variant L1,96 years,Males,2065,245
Low variant L1,96 years,Males,2066,246
Low variant L1,96 years,Males,2067,256
Low variant L1,96 years,Males,2068,283
Low variant L1,96 years,Males,2069,308
Low variant L1,96 years,Males,2070,331
Low variant L1,96 years,Males,2071,327
Low variant L1,96 years,Males,2072,347
Low variant L1,96 years,Males,2073,372
Low variant L1,96 years,Males,2074,366
Low variant L1,96 years,Females,2026,103
Low variant L1,96 years,Females,2027,110
Low variant L1,96 years,Females,2028,96
Low variant L1,96 years,Females,2029,94
Low variant L1,96 years,Females,2030,98
Low variant L1,96 years,Females,2031,101
Low variant L1,96 years,Females,2032,103
Low variant L1,96 years,Females,2033,113
Low variant L1,96 years,Females,2034,104
Low variant L1,96 years,Females,2035,105
Low variant L1,96 years,Females,2036,112
Low variant L1,96 years,Females,2037,127
Low variant L1,96 years,Females,2038,132
Low variant L1,96 years,Females,2039,151
Low variant L1,96 years,Females,2040,164
Low variant L1,96 years,Females,2041,170
Low variant L1,96 years,Females,2042,188
Low variant L1,96 years,Females,2043,189
Low variant L1,96 years,Females,2044,208
Low variant L1,96 years,Females,2045,233
Low variant L1,96 years,Females,2046,229
Low variant L1,96 years,Females,2047,242
Low variant L1,96 years,Females,2048,266
Low variant L1,96 years,Females,2049,264
Low variant L1,96 years,Females,2050,290
Low variant L1,96 years,Females,2051,299
Low variant L1,96 years,Females,2052,320
Low variant L1,96 years,Females,2053,332
Low variant L1,96 years,Females,2054,344
Low variant L1,96 years,Females,2055,343
Low variant L1,96 years,Females,2056,358
Low variant L1,96 years,Females,2057,359
Low variant L1,96 years,Females,2058,352
Low variant L1,96 years,Females,2059,383
Low variant L1,96 years,Females,2060,398
Low variant L1,96 years,Females,2061,417
Low variant L1,96 years,Females,2062,405
Low variant L1,96 years,Females,2063,432
Low variant L1,96 years,Females,2064,418
Low variant L1,96 years,Females,2065,394
Low variant L1,96 years,Females,2066,425
Low variant L1,96 years,Females,2067,410
Low variant L1,96 years,Females,2068,440
Low variant L1,96 years,Females,2069,512
Low variant L1,96 years,Females,2070,510
Low variant L1,96 years,Females,2071,488
Low variant L1,96 years,Females,2072,520
Low variant L1,96 years,Females,2073,520
Low variant L1,96 years,Females,2074,528
Low variant L1,97 years,Total,2026,91
Low variant L1,97 years,Total,2027,103
Low variant L1,97 years,Total,2028,113
Low variant L1,97 years,Total,2029,101
Low variant L1,97 years,Total,2030,98
Low variant L1,97 years,Total,2031,102
Low variant L1,97 years,Total,2032,106
Low variant L1,97 years,Total,2033,107
Low variant L1,97 years,Total,2034,117
Low variant L1,97 years,Total,2035,115
Low variant L1,97 years,Total,2036,114
Low variant L1,97 years,Total,2037,123
Low variant L1,97 years,Total,2038,134
Low variant L1,97 years,Total,2039,143
Low variant L1,97 years,Total,2040,166
Low variant L1,97 years,Total,2041,178
Low variant L1,97 years,Total,2042,190
Low variant L1,97 years,Total,2043,212
Low variant L1,97 years,Total,2044,217
Low variant L1,97 years,Total,2045,239
Low variant L1,97 years,Total,2046,261
Low variant L1,97 years,Total,2047,267
Low variant L1,97 years,Total,2048,286
Low variant L1,97 years,Total,2049,301
Low variant L1,97 years,Total,2050,309
Low variant L1,97 years,Total,2051,339
Low variant L1,97 years,Total,2052,349
Low variant L1,97 years,Total,2053,372
Low variant L1,97 years,Total,2054,393
Low variant L1,97 years,Total,2055,413
Low variant L1,97 years,Total,2056,406
Low variant L1,97 years,Total,2057,432
Low variant L1,97 years,Total,2058,437
Low variant L1,97 years,Total,2059,428
Low variant L1,97 years,Total,2060,461
Low variant L1,97 years,Total,2061,482
Low variant L1,97 years,Total,2062,497
Low variant L1,97 years,Total,2063,498
Low variant L1,97 years,Total,2064,528
Low variant L1,97 years,Total,2065,512
Low variant L1,97 years,Total,2066,501
Low variant L1,97 years,Total,2067,527
Low variant L1,97 years,Total,2068,524
Low variant L1,97 years,Total,2069,570
Low variant L1,97 years,Total,2070,650
Low variant L1,97 years,Total,2071,666
Low variant L1,97 years,Total,2072,647
Low variant L1,97 years,Total,2073,690
Low variant L1,97 years,Total,2074,710
Low variant L1,97 years,Males,2026,26
Low variant L1,97 years,Males,2027,28
Low variant L1,97 years,Males,2028,33
Low variant L1,97 years,Males,2029,31
Low variant L1,97 years,Males,2030,29
Low variant L1,97 years,Males,2031,30
Low variant L1,97 years,Males,2032,31
Low variant L1,97 years,Males,2033,31
Low variant L1,97 years,Males,2034,33
Low variant L1,97 years,Males,2035,38
Low variant L1,97 years,Males,2036,36
Low variant L1,97 years,Males,2037,39
Low variant L1,97 years,Males,2038,39
Low variant L1,97 years,Males,2039,44
Low variant L1,97 years,Males,2040,52
Low variant L1,97 years,Males,2041,54
Low variant L1,97 years,Males,2042,61
Low variant L1,97 years,Males,2043,69
Low variant L1,97 years,Males,2044,73
Low variant L1,97 years,Males,2045,80
Low variant L1,97 years,Males,2046,82
Low variant L1,97 years,Males,2047,91
Low variant L1,97 years,Males,2048,100
Low variant L1,97 years,Males,2049,96
Low variant L1,97 years,Males,2050,105
Low variant L1,97 years,Males,2051,114
Low variant L1,97 years,Males,2052,116
Low variant L1,97 years,Males,2053,123
Low variant L1,97 years,Males,2054,134
Low variant L1,97 years,Males,2055,144
Low variant L1,97 years,Males,2056,137
Low variant L1,97 years,Males,2057,150
Low variant L1,97 years,Males,2058,154
Low variant L1,97 years,Males,2059,150
Low variant L1,97 years,Males,2060,158
Low variant L1,97 years,Males,2061,166
Low variant L1,97 years,Males,2062,165
Low variant L1,97 years,Males,2063,175
Low variant L1,97 years,Males,2064,182
Low variant L1,97 years,Males,2065,178
Low variant L1,97 years,Males,2066,185
Low variant L1,97 years,Males,2067,186
Low variant L1,97 years,Males,2068,194
Low variant L1,97 years,Males,2069,215
Low variant L1,97 years,Males,2070,235
Low variant L1,97 years,Males,2071,253
Low variant L1,97 years,Males,2072,251
Low variant L1,97 years,Males,2073,267
Low variant L1,97 years,Males,2074,287
Low variant L1,97 years,Females,2026,65
Low variant L1,97 years,Females,2027,75
Low variant L1,97 years,Females,2028,80
Low variant L1,97 years,Females,2029,70
Low variant L1,97 years,Females,2030,69
Low variant L1,97 years,Females,2031,72
Low variant L1,97 years,Females,2032,75
Low variant L1,97 years,Females,2033,76
Low variant L1,97 years,Females,2034,84
Low variant L1,97 years,Females,2035,77
Low variant L1,97 years,Females,2036,78
Low variant L1,97 years,Females,2037,84
Low variant L1,97 years,Females,2038,95
Low variant L1,97 years,Females,2039,99
Low variant L1,97 years,Females,2040,114
Low variant L1,97 years,Females,2041,124
Low variant L1,97 years,Females,2042,129
Low variant L1,97 years,Females,2043,143
Low variant L1,97 years,Females,2044,144
Low variant L1,97 years,Females,2045,159
Low variant L1,97 years,Females,2046,179
Low variant L1,97 years,Females,2047,176
Low variant L1,97 years,Females,2048,186
Low variant L1,97 years,Females,2049,205
Low variant L1,97 years,Females,2050,204
Low variant L1,97 years,Females,2051,225
Low variant L1,97 years,Females,2052,233
Low variant L1,97 years,Females,2053,249
Low variant L1,97 years,Females,2054,259
Low variant L1,97 years,Females,2055,269
Low variant L1,97 years,Females,2056,269
Low variant L1,97 years,Females,2057,282
Low variant L1,97 years,Females,2058,283
Low variant L1,97 years,Females,2059,278
Low variant L1,97 years,Females,2060,303
Low variant L1,97 years,Females,2061,316
Low variant L1,97 years,Females,2062,332
Low variant L1,97 years,Females,2063,323
Low variant L1,97 years,Females,2064,346
Low variant L1,97 years,Females,2065,334
Low variant L1,97 years,Females,2066,316
Low variant L1,97 years,Females,2067,341
Low variant L1,97 years,Females,2068,330
Low variant L1,97 years,Females,2069,355
Low variant L1,97 years,Females,2070,415
Low variant L1,97 years,Females,2071,413
Low variant L1,97 years,Females,2072,396
